participantId,teamId,championId,spell1Id,spell2Id,stats.participantId,stats.win,stats.item0,stats.item1,stats.item2,stats.item3,stats.item4,stats.item5,stats.item6,stats.kills,stats.deaths,stats.assists,stats.largestKillingSpree,stats.largestMultiKill,stats.killingSprees,stats.longestTimeSpentLiving,stats.doubleKills,stats.tripleKills,stats.quadraKills,stats.pentaKills,stats.unrealKills,stats.totalDamageDealt,stats.magicDamageDealt,stats.physicalDamageDealt,stats.trueDamageDealt,stats.largestCriticalStrike,stats.totalDamageDealtToChampions,stats.magicDamageDealtToChampions,stats.physicalDamageDealtToChampions,stats.trueDamageDealtToChampions,stats.totalHeal,stats.totalUnitsHealed,stats.damageSelfMitigated,stats.damageDealtToObjectives,stats.damageDealtToTurrets,stats.visionScore,stats.timeCCingOthers,stats.totalDamageTaken,stats.magicalDamageTaken,stats.physicalDamageTaken,stats.trueDamageTaken,stats.goldEarned,stats.goldSpent,stats.turretKills,stats.inhibitorKills,stats.totalMinionsKilled,stats.neutralMinionsKilled,stats.totalTimeCrowdControlDealt,stats.champLevel,stats.visionWardsBoughtInGame,stats.sightWardsBoughtInGame,stats.firstBloodKill,stats.firstBloodAssist,stats.firstTowerKill,stats.firstTowerAssist,stats.firstInhibitorKill,stats.firstInhibitorAssist,stats.combatPlayerScore,stats.objectivePlayerScore,stats.totalPlayerScore,stats.totalScoreRank,stats.playerScore0,stats.playerScore1,stats.playerScore2,stats.playerScore3,stats.playerScore4,stats.playerScore5,stats.playerScore6,stats.playerScore7,stats.playerScore8,stats.playerScore9,stats.perk0,stats.perk0Var1,stats.perk0Var2,stats.perk0Var3,stats.perk1,stats.perk1Var1,stats.perk1Var2,stats.perk1Var3,stats.perk2,stats.perk2Var1,stats.perk2Var2,stats.perk2Var3,stats.perk3,stats.perk3Var1,stats.perk3Var2,stats.perk3Var3,stats.perk4,stats.perk4Var1,stats.perk4Var2,stats.perk4Var3,stats.perk5,stats.perk5Var1,stats.perk5Var2,stats.perk5Var3,stats.perkPrimaryStyle,stats.perkSubStyle,stats.statPerk0,stats.statPerk1,stats.statPerk2,timeline.participantId,timeline.role,timeline.lane,subType,gameLength,timeline.creepsPerMinDeltas.10-20,timeline.creepsPerMinDeltas.0-10,timeline.xpPerMinDeltas.10-20,timeline.xpPerMinDeltas.0-10,timeline.goldPerMinDeltas.10-20,timeline.goldPerMinDeltas.0-10,timeline.damageTakenPerMinDeltas.10-20,timeline.damageTakenPerMinDeltas.0-10,timeline.csDiffPerMinDeltas.10-20,timeline.csDiffPerMinDeltas.0-10,timeline.xpDiffPerMinDeltas.10-20,timeline.xpDiffPerMinDeltas.0-10,timeline.damageTakenDiffPerMinDeltas.10-20,timeline.damageTakenDiffPerMinDeltas.0-10,stats.neutralMinionsKilledTeamJungle,stats.neutralMinionsKilledEnemyJungle,stats.wardsPlaced,stats.wardsKilled,timeline.creepsPerMinDeltas.30-end,timeline.creepsPerMinDeltas.20-30,timeline.xpPerMinDeltas.30-end,timeline.xpPerMinDeltas.20-30,timeline.goldPerMinDeltas.30-end,timeline.goldPerMinDeltas.20-30,timeline.csDiffPerMinDeltas.30-end,timeline.csDiffPerMinDeltas.20-30,timeline.xpDiffPerMinDeltas.30-end,timeline.xpDiffPerMinDeltas.20-30,timeline.damageTakenPerMinDeltas.30-end,timeline.damageTakenPerMinDeltas.20-30,timeline.damageTakenDiffPerMinDeltas.30-end,timeline.damageTakenDiffPerMinDeltas.20-30,highestAchievedSeasonTier
10,200,126,32,4,10,False,3070,1036,1036,1001,0,0,2052,0,1,0,0,0,0,39,0,0,0,0,0,207,0,207,0,0,207,0,207,0,0,0,364,0,0,0,0,1192,934,180,77,4238,1400,0,0,0,0,0,7,0,0,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8128,22,1,0,8143,0,0,0,8138,0,0,0,8135,0,0,0,8014,0,0,0,9111,0,0,0,8100,8000,5008,5008,5002,10,DUO,NONE,450,532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,100,164,32,4,4,False,3143,6630,3111,3065,3075,3077,2052,14,8,14,6,3,3,370,3,2,0,0,0,55115,3527,43388,8199,31,21614,2648,13649,5317,6594,3,68310,2120,2120,0,21,38228,16843,16042,5342,14864,14400,1,2,35,0,121,18,0,0,False,False,False,True,True,False,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8439,1100,0,0,8463,399,0,0,8429,63,22,15,8451,369,0,0,9111,1217,280,0,9105,8,40,0,8400,8000,5005,5008,5002,4,DUO_SUPPORT,TOP,450,1309,0.9,2.1,1010.5,752.5999999999999,668.1,595.1,2379.1,694.9,,,,,,,,,,,,,,,,,,,,,,,,,
5,100,517,32,4,5,False,3066,6656,3158,4629,3065,1057,2052,6,14,9,0,1,0,147,0,0,0,0,0,33186,31422,1123,640,0,15923,15564,53,305,5696,1,34052,0,0,0,32,40081,30686,7430,1963,12982,12185,0,0,15,0,145,18,0,0,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,1,0,1,8010,156,0,0,8009,2061,0,0,9103,20,30,0,8014,316,0,0,8347,0,0,0,8313,0,0,0,8000,8300,5008,5008,5002,5,NONE,JUNGLE,450,1397,0.8999999999999999,0.4,870.5,675.3,555.8,454.1,2215.2,838.6,-1.9,-1.3,-417.9,-62.400000000000034,1451.4,355.6,,,,,,,,,,,,,,,,,,,
10,200,115,7,4,10,False,3157,4637,6653,3020,3089,3165,3363,14,10,15,4,1,4,473,0,0,0,0,0,217259,190913,15155,11190,0,62774,60621,1867,286,4937,5,19395,17040,12542,40,40,28250,16955,10087,1207,17152,16200,2,0,222,16,329,16,0,0,False,False,False,False,False,False,0,0,0,0,0,0,0,1,0,0,0,1,0,1,8229,2559,0,0,8226,250,2564,0,8210,34,0,0,8237,903,0,0,8304,10,3,0,8345,3,0,0,8200,8300,5008,5008,5002,10,DUO_CARRY,BOTTOM,420,2482,6.8,7.6,486.29999999999995,310.4,561.3,316.2,562.2,182.1,-0.25,1.5499999999999998,92.4,49.250000000000014,23.50000000000003,-7.450000000000017,12.0,0.0,8.0,4.0,2.7,5.1,339.7,399.1,280.2,446.0,0.050000000000000044,1.1499999999999997,-148.50000000000003,-49.650000000000006,1081.5,721.4,282.44999999999993,-102.44999999999999,
9,200,163,7,4,9,True,1056,2003,0,0,0,0,3340,0,1,0,0,0,0,49,0,0,0,0,0,4932,859,1688,2385,0,387,308,79,0,126,2,184,0,0,1,0,751,156,525,70,960,500,0,0,14,0,0,2,0,0,False,False,,,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8112,0,0,0,8126,0,0,0,8138,0,0,0,8135,0,0,0,8226,50,0,0,8236,0,0,0,8100,8200,5008,5008,5002,9,DUO,NONE,420,192,,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,
10,200,112,32,4,10,True,6653,3020,4637,3100,0,0,2052,12,4,26,6,2,3,274,1,0,0,0,0,60901,57163,3437,300,0,30110,29488,407,215,1987,1,8925,1901,1901,0,32,10227,1934,6997,1295,12560,10400,1,0,43,0,189,18,0,0,False,False,False,True,False,True,0,0,0,0,0,0,0,0,0,0,1,1,0,1,8230,16,0,0,8226,250,788,0,8210,46,0,0,8237,442,0,0,8106,5,0,0,8138,30,0,0,8200,8100,5008,5008,5002,10,DUO_SUPPORT,NONE,450,953,,3.0,,828.8,,579.7,,528.3,,-0.019999999999999907,,103.3200000000001,,-198.31999999999994,,,,,,,,,,,,,,,,,,,
8,200,142,13,4,8,True,6655,3020,4628,3089,0,0,2052,18,7,16,4,3,6,117,2,1,0,0,0,55614,48286,4677,2651,0,25185,21396,1419,2369,3028,3,7045,3025,3025,0,29,14582,4323,9725,533,13015,10900,1,0,40,0,83,17,0,0,False,False,False,True,False,True,0,0,0,0,0,0,0,1,0,0,0,1,0,1,8128,1671,24,0,8126,295,0,0,8138,30,0,0,8135,1930,5,0,8233,7,20,0,8237,419,0,0,8100,8200,5008,5008,5002,8,DUO_SUPPORT,NONE,450,911,,2.2,,825.7,,746.5,,781.5,,0.20000000000000018,,99.80000000000001,,-157.1600000000002,,,,,,,,,,,,,,,,,,,
6,200,81,7,4,6,False,6632,3139,6694,3158,3074,3042,2052,20,8,27,7,2,5,609,2,0,0,0,0,403200,52918,343368,6915,739,71603,27055,44547,0,16718,5,33137,4739,4739,0,10,51868,23349,25108,3409,27090,28650,2,2,225,0,323,18,0,0,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,1,0,0,1,8010,157,0,0,8009,11637,0,0,9103,10,10,0,8014,1562,0,0,8210,35,0,0,8226,250,2217,0,8000,8200,5005,5008,5002,6,DUO,MIDDLE,450,2224,6.1,3.1,1380.2,727.9000000000001,841.5,536.4000000000001,1648.4,421.4,,,,,,,,,,,7.6,7.9,2137.8,1796.5,724.6,696.7,,,,,599.4,2241.9,,,
4,100,133,32,4,4,False,1001,6631,3134,0,1037,0,2052,3,2,8,2,1,1,397,0,0,0,0,0,12095,0,11985,110,0,6106,0,5996,110,724,1,2047,0,0,0,10,4040,2245,1575,219,6597,5575,0,0,5,0,44,11,0,0,False,False,False,False,,,0,0,0,0,0,0,0,0,1,0,0,0,0,1,9923,16,66,0,8143,121,0,0,8138,18,0,0,8135,370,5,0,8009,601,0,0,9104,9,10,0,8100,8000,5005,5008,5002,4,DUO,NONE,450,597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,100,55,32,4,1,False,3157,3152,3115,3089,3020,3100,2052,8,17,21,2,2,1,206,1,0,0,0,0,92869,88755,3399,713,0,30969,29864,621,483,4289,1,23876,261,261,0,0,42541,27968,11508,3064,17697,16700,0,1,37,0,0,18,0,0,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,1,0,1,8128,1904,25,0,8143,883,0,0,8138,30,0,0,8135,2242,5,0,8347,0,0,0,8304,5,3,0,8100,8300,5008,5008,5002,1,DUO_SUPPORT,TOP,450,1787,1.1,1.2999999999999998,994.0,689.6,588.5,509.70000000000005,1619.5,678.3,,,,,,,,,,,,,,,,,,,,,,,,,
